log2N,N,delta,log2s,s,rho,storage_bytes,honest_bytes,storage_fraction,rec_hashes_median,rec_hashes_p99,depth_median,depth_p99,saturated,resp_seq_s_median,resp_seq_s_p99,resp_par_s_median,resp_par_s_p99,pass_rate,pass_validated,challenges
20,1048576,4,1,2,0.5,50331616,67108832,0.7499998807906536,142313,274882,1830,2477,0,0.006988803221529245,0.01349909148946619,8.986887983106614e-05,0.00012164219417571084,1.0,1,40
20,1048576,4,2,4,0.25,25165792,67108832,0.374999701976634,372979,716871,28743,58111,1,0.018316505426508863,0.03520458675047881,0.0014115307174777784,0.0028537543583951283,1.0,1,40
20,1048576,4,3,8,0.125,12582880,67108832,0.18749961256962422,529429,899610,33079,130800,1,0.025999558021902472,0.04417865736875706,0.0016244659431321514,0.006423415017433581,1.0,0,40
20,1048576,4,4,16,0.0625,6291424,67108832,0.09374956786611932,566056,977064,67321,220037,1,0.027798261552816384,0.047982320876098807,0.003306045278200658,0.010805726071796886,1.0,1,40
20,1048576,4,5,32,0.03125,3145696,67108832,0.04687454551436687,499331,945631,96889,189905,1,0.0245214850464077,0.04643868781613711,0.004758090654618671,0.009325983401267003,1.0,0,40
20,1048576,4,6,64,0.015625,1572832,67108832,0.023437034338490648,497359,999638,215806,274549,1,0.024424642734371164,0.04909090016205864,0.010597947257280362,0.013482738299857584,1.0,1,40
20,1048576,4,7,128,0.0078125,786400,67108832,0.011718278750552535,576337,1029310,58610,205723,1,0.02830314786622796,0.050548052840937,0.0028782595884692826,0.010102784462014437,1.0,1,40
20,1048576,4,8,256,0.00390625,393184,67108832,0.005858900956583479,478643,1025593,130155,274339,1,0.023505524726219123,0.05036551588665717,0.006391739920443943,0.013472425477581889,1.0,1,40
20,1048576,4,9,512,0.001953125,196576,67108832,0.0029292120595989513,481548,1001930,184289,252430,1,0.023648185434366253,0.04920345725089623,0.009050189068408388,0.012396503462161763,1.0,0,40
20,1048576,4,10,1024,0.0009765625,98272,67108832,0.0014643676111066872,638310,999389,188528,280208,1,0.031346559937140896,0.04907867210136031,0.00925836075234494,0.013760644305848843,1.0,0,40
20,1048576,8,0,1,1.0,67108832,67108832,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,40
20,1048576,8,1,2,0.5,50331616,67108832,0.7499998807906536,252399,500333,21044,44913,1,0.012394981093159162,0.024570691941266022,0.0010334430093797574,0.002205618032706379,1.0,0,40
20,1048576,8,2,4,0.25,25165792,67108832,0.374999701976634,346034,776542,101400,155156,1,0.016993272111182046,0.03813495064577911,0.004979619898836125,0.007619505966704317,1.0,0,40
20,1048576,8,3,8,0.125,12582880,67108832,0.18749961256962422,465167,909824,113639,222843,1,0.02284373618818445,0.044680253400775916,0.005580661002799195,0.010943525020871188,1.0,0,40
20,1048576,8,4,16,0.0625,6291424,67108832,0.09374956786611932,330279,961879,55028,255653,1,0.01621956489711732,0.04723660560821097,0.0027023523056524086,0.012554780729754947,1.0,1,40
20,1048576,8,5,32,0.03125,3145696,67108832,0.04687454551436687,334420,985643,175955,241886,1,0.016422923930658546,0.048403624220399746,0.008640917350095761,0.011878701566566813,1.0,1,40
20,1048576,8,6,64,0.015625,1572832,67108832,0.023437034338490648,325918,993100,193797,287696,1,0.016005401954525364,0.04876982762854196,0.009517114374109905,0.014128370082993665,1.0,0,40
20,1048576,8,7,128,0.0078125,786400,67108832,0.011718278750552535,681406,1011661,183554,284409,1,0.03346294750282375,0.04968133379168099,0.009014094190443451,0.01396694986004027,1.0,0,40
20,1048576,8,8,256,0.00390625,393184,67108832,0.005858900956583479,352153,1001886,158124,287786,1,0.01729376810882483,0.04920129646908609,0.007765260521534155,0.014132789863968964,1.0,1,40
20,1048576,8,9,512,0.001953125,196576,67108832,0.0029292120595989513,610641,1032724,125822,200165,1,0.029987771939301675,0.05071570986593331,0.006178952020822079,0.009829838432451015,1.0,1,40
20,1048576,8,10,1024,0.0009765625,98272,67108832,0.0014643676111066872,364188,1027091,187934,278835,1,0.017884791042577224,0.050439080685557136,0.00922919019790797,0.013693218091636792,1.0,0,40
